Fecha,Calorias_(kcal),Distancia_(m),Frecuencia_cardiaca_media_(ppm),Frecuencia cardiaca maxima (ppm),Frecuencia cardiaca minima (ppm),Latitud baja (grados),Longitud baja (grados),Latitud alta (grados),Longitud alta (grados),Velocidad media (m/s),Velocidad maxima (m/s),Velocidad minima (m/s),Recuento de pasos,Peso medio (kg),Peso maximo (kg),Peso minimo (kg),Bicicleta duracion (ms),Inactivo duracion (ms),Andar duracion (ms),Correr duracion (ms),Dormir_duracion_(ms),Suenoo ligero duracion (ms),Sueno profundo duracion (ms),Desvelo duracion (ms)
2018-05-27,6971.786787833921,4933.609756097561,0.0,0.0,0.0,9.106245994567873,-79.41649627685547,9.10635757446289,-79.41646575927734,0.14757777921082174,0.5866666436195374,0.0,7353.0,0.0,0.0,0.0,0.0,69492992.0,9360000.0,7260000.0,0.0,0.0,0.0,0.0
2018-05-28,7463.369638950065,11316.773755265924,0.0,0.0,0.0,8.962312698364258,-79.53972625732422,9.105491638183594,-79.40071868896484,0.3374989049443253,10.270000457763672,0.0,14542.0,0.0,0.0,0.0,0.0,36007731.0,20486068.0,3420000.0,0.0,19740000.0,2820000.0,120000.0
2018-05-29,6686.749423691425,7915.068666876339,0.0,0.0,0.0,8.960061073303223,-79.53914642333984,9.08105182647705,-79.3992919921875,0.3233590899310629,10.949999809265137,0.0,10518.0,0.0,0.0,0.0,0.0,36566739.0,13690757.0,4440000.0,0.0,18420000.0,4380000.0,0.0
2018-05-30,5856.134624428802,9880.559412479399,0.0,0.0,0.0,8.987523078918457,-79.53221130371094,9.106508255004883,-79.39978790283203,0.4423680181384477,5.446433067321777,0.0,11915.0,0.0,0.0,0.0,455139.0,39631605.0,10331501.0,3420000.0,0.0,21000000.0,3000000.0,1140000.0
2018-05-31,6858.701629267637,9863.034469127657,0.0,0.0,0.0,9.01960277557373,-79.5322265625,9.09672737121582,-79.39974975585938,0.5388192277963989,16.170000076293945,0.0010061241919174788,13471.0,0.0,0.0,0.0,0.0,33416376.0,13135595.0,5100000.0,0.0,21720000.0,660000.0,120000.0
2018-06-01,7450.375816215185,17924.788493845197,0.0,0.0,0.0,9.007152557373047,-79.5325698852539,9.105430603027344,-79.39923095703125,0.5514214281731961,18.670000076293945,0.0,14190.0,0.0,0.0,0.0,96875.0,37482735.0,14777172.0,4500000.0,0.0,19320000.0,3840000.0,0.0
2018-06-02,3265.9297806237864,1505.143830947512,0.0,0.0,0.0,9.106584548950195,-79.41663360595703,9.106622695922852,-79.41629791259766,0.24751755257295754,0.9399999976158142,0.0016524216625839472,2154.0,0.0,0.0,0.0,0.0,47608502.0,2251498.0,300000.0,0.0,33060000.0,3000000.0,180000.0
2018-06-03,6575.045176118617,7525.945473084262,0.0,0.0,0.0,9.077773094177246,-79.40877532958984,9.096135139465332,-79.39930725097656,0.28637072335274777,1.7749999761581419,0.0,10592.0,0.0,0.0,0.0,0.0,34600279.0,11605274.0,5100000.0,0.0,28620000.0,5640000.0,0.0
2018-06-04,9506.53034666379,13707.819824979253,0.0,0.0,0.0,8.96027946472168,-79.54976654052734,9.106321334838867,-79.3994369506836,0.5781652657629823,90.0,0.0,14668.0,0.0,0.0,0.0,0.0,26388246.0,18665302.0,9900000.0,1260000.0,22620000.0,2760000.0,0.0
2018-06-05,7094.877371771624,8028.821312707556,0.0,0.0,0.0,9.019556045532227,-79.53279113769531,9.09429168701172,-79.3992691040039,0.31521079019245274,3.75,0.0,9058.0,0.0,0.0,0.0,111364.0,30909662.0,12811903.0,5700000.0,0.0,21360000.0,3780000.0,960000.0
